x,y,z,phi
-3.000000000000e-05,1.323529411765e-04,0.000000000000e+00,-2.281423785859e-12
-3.000000000000e-05,1.029411764706e-04,0.000000000000e+00,-2.945121517163e-12
-3.000000000000e-05,7.352941176471e-05,0.000000000000e+00,-8.512915063294e-13
-3.000000000000e-05,4.411764705882e-05,0.000000000000e+00,-1.874078501870e-12
-3.000000000000e-05,1.470588235294e-05,0.000000000000e+00,-1.874078501870e-12
-3.000000000000e-05,-1.470588235294e-05,0.000000000000e+00,-1.874078501870e-12
-3.000000000000e-05,-4.411764705882e-05,0.000000000000e+00,-2.543021517102e-12
-3.000000000000e-05,-7.352941176471e-05,0.000000000000e+00,-2.543021517100e-12
-3.000000000000e-05,-1.029411764706e-04,0.000000000000e+00,-2.934022048649e-12
-3.000000000000e-05,-1.323529411765e-04,0.000000000000e+00,5.602235350976e-13
-3.000000000000e-05,-1.617647058824e-04,0.000000000000e+00,5.687345552291e-13
-3.000000000000e-05,-1.911764705882e-04,0.000000000000e+00,1.259032162798e-12
-3.000000000000e-05,-2.205882352941e-04,0.000000000000e+00,-1.311773212001e-12
-8.000000000000e-05,-2.500000000000e-04,0.000000000000e+00,9.999999999999e+00
-5.000000000000e-05,-2.205882352941e-04,0.000000000000e+00,-1.311773212001e-12
-5.000000000000e-05,-1.911764705882e-04,0.000000000000e+00,5.687345552291e-13
-5.000000000000e-05,-1.617647058824e-04,0.000000000000e+00,4.198459370805e-13
-5.000000000000e-05,-1.323529411765e-04,0.000000000000e+00,4.198459370805e-13
-5.000000000000e-05,-1.029411764706e-04,0.000000000000e+00,-2.543021517100e-12
-5.000000000000e-05,-7.352941176471e-05,0.000000000000e+00,-2.543021517100e-12
-5.000000000000e-05,-4.411764705882e-05,0.000000000000e+00,-2.543021517100e-12
-5.000000000000e-05,-1.470588235294e-05,0.000000000000e+00,-2.543021517100e-12
-5.000000000000e-05,1.470588235294e-05,0.000000000000e+00,-1.874078501870e-12
-5.000000000000e-05,4.411764705882e-05,0.000000000000e+00,-1.874078501870e-12
-5.000000000000e-05,7.352941176471e-05,0.000000000000e+00,-1.722054468785e-12
-5.000000000000e-05,1.029411764706e-04,0.000000000000e+00,-1.723125431338e-12
-5.000000000000e-05,1.323529411765e-04,0.000000000000e+00,-2.281423785859e-12
-5.000000000000e-05,1.617647058824e-04,0.000000000000e+00,-1.593869340734e-12
-5.000000000000e-05,1.911764705882e-04,0.000000000000e+00,-2.559104653169e-12
-5.000000000000e-05,2.205882352941e-04,0.000000000000e+00,-1.652104305515e-12
-8.000000000000e-05,2.500000000000e-04,0.000000000000e+00,9.999999999998e+00
-1.100000000000e-04,2.205882352941e-04,0.000000000000e+00,-1.712979396726e-12
-1.100000000000e-04,1.911764705882e-04,0.000000000000e+00,-1.712979396726e-12
-1.100000000000e-04,1.617647058824e-04,0.000000000000e+00,-2.280145203605e-12
-1.100000000000e-04,1.323529411765e-04,0.000000000000e+00,-2.280145203605e-12
-1.100000000000e-04,1.029411764706e-04,0.000000000000e+00,-9.135372789446e-13
-1.100000000000e-04,7.352941176471e-05,0.000000000000e+00,-1.922038581966e-12
-1.100000000000e-04,4.411764705882e-05,0.000000000000e+00,-1.922038581966e-12
-1.100000000000e-04,1.470588235294e-05,0.000000000000e+00,-1.922038581966e-12
-1.100000000000e-04,-1.470588235294e-05,0.000000000000e+00,-4.594083846423e-13
-1.100000000000e-04,-4.411764705882e-05,0.000000000000e+00,-4.594083846423e-13
-1.100000000000e-04,-7.352941176471e-05,0.000000000000e+00,1.120517235730e-13
-1.100000000000e-04,-1.029411764706e-04,0.000000000000e+00,1.120517235730e-13
-1.100000000000e-04,-1.323529411765e-04,0.000000000000e+00,1.187206279444e-12
-1.100000000000e-04,-1.617647058824e-04,0.000000000000e+00,-3.107566147639e-13
-1.100000000000e-04,-1.911764705882e-04,0.000000000000e+00,-1.082311107174e-12
-1.100000000000e-04,-2.205882352941e-04,0.000000000000e+00,-1.082311107174e-12
8.000000000000e-05,-2.500000000000e-04,0.000000000000e+00,9.999999999999e+00
1.100000000000e-04,-2.205882352941e-04,0.000000000000e+00,-6.732421636033e-13
1.100000000000e-04,-1.911764705882e-04,0.000000000000e+00,-2.090286533265e-12
1.100000000000e-04,-1.617647058824e-04,0.000000000000e+00,-2.090286533265e-12
1.100000000000e-04,-1.323529411765e-04,0.000000000000e+00,-2.090286533265e-12
1.100000000000e-04,-1.029411764706e-04,0.000000000000e+00,-3.089486167323e-12
1.100000000000e-04,-7.352941176471e-05,0.000000000000e+00,-2.096181359038e-12
1.100000000000e-04,-4.411764705882e-05,0.000000000000e+00,-2.096181359038e-12
1.100000000000e-04,-1.470588235294e-05,0.000000000000e+00,-6.350083700945e-13
1.100000000000e-04,1.470588235294e-05,0.000000000000e+00,-6.350083700944e-13
1.100000000000e-04,4.411764705882e-05,0.000000000000e+00,-1.212346214842e-12
1.100000000000e-04,7.352941176471e-05,0.000000000000e+00,-3.342913896985e-13
1.100000000000e-04,1.029411764706e-04,0.000000000000e+00,-2.937075540275e-12
1.100000000000e-04,1.323529411765e-04,0.000000000000e+00,-2.937075540275e-12
1.100000000000e-04,1.617647058824e-04,0.000000000000e+00,-1.534025667554e-12
1.100000000000e-04,1.911764705882e-04,0.000000000000e+00,-2.026248800753e-12
1.100000000000e-04,2.205882352941e-04,0.000000000000e+00,-2.026248800753e-12
8.000000000000e-05,2.500000000000e-04,0.000000000000e+00,9.999999999998e+00
5.000000000000e-05,2.205882352941e-04,0.000000000000e+00,-1.308559135668e-12
5.000000000000e-05,1.911764705882e-04,0.000000000000e+00,-9.476514659209e-13
5.000000000000e-05,1.617647058824e-04,0.000000000000e+00,-9.476514659209e-13
5.000000000000e-05,1.323529411765e-04,0.000000000000e+00,1.091486761828e-12
5.000000000000e-05,1.029411764706e-04,0.000000000000e+00,8.068200776229e-14
5.000000000000e-05,7.352941176471e-05,0.000000000000e+00,-3.179856280754e-12
5.000000000000e-05,4.411764705882e-05,0.000000000000e+00,-1.254383795330e-12
5.000000000000e-05,1.470588235294e-05,0.000000000000e+00,-1.254383795330e-12
5.000000000000e-05,-1.470588235294e-05,0.000000000000e+00,-9.605621730860e-13
5.000000000000e-05,-4.411764705882e-05,0.000000000000e+00,-3.092480352736e-12
5.000000000000e-05,-7.352941176471e-05,0.000000000000e+00,-1.909426408033e-12
5.000000000000e-05,-1.029411764706e-04,0.000000000000e+00,-2.007254431907e-12
5.000000000000e-05,-1.323529411765e-04,0.000000000000e+00,-2.934022048649e-12
5.000000000000e-05,-1.617647058824e-04,0.000000000000e+00,-2.610135243670e-12
5.000000000000e-05,-1.911764705882e-04,0.000000000000e+00,-2.610135243670e-12
5.000000000000e-05,-2.205882352941e-04,0.000000000000e+00,-1.610971742165e-12
-3.000000000000e-04,-4.000000000000e-04,3.000000000000e-05,0.000000000000e+00
-3.000000000000e-04,-4.000000000000e-04,6.000000000000e-05,0.000000000000e+00
-3.000000000000e-04,-4.000000000000e-04,9.000000000000e-05,0.000000000000e+00
